date,Sentiment,Reporting,Movement,Actions,Information,Miscellaneous,Preparation,Other
2012-11-02 21:54:16,"","","","","","","",""
2012-10-26 06:35:05,"","","","","","","",""
2012-11-03 19:22:21,"","","","","","","",""
2012-10-24 08:18:40,"","","","","","","",""
2012-11-02 11:07:50,"",Other_Non_Natural_Environment,"","","","","",""
2012-11-05 10:38:02,"","","","","","","",""
2012-10-31 10:24:22,"",What_Others_Are_Doing,"","","","","",""
2012-10-28 21:52:45,"","","","","","","",""
2012-10-26 11:46:16,"","","","","","","",""
2012-10-24 09:22:55,"","","","","","","",""
2012-10-23 13:36:31,"","","","","","","",""
2012-11-06 22:09:41,"","","","","","","",""
2012-10-29 05:21:02,Worried,"","","","","","",""
2012-10-31 21:20:42,"",Other_Non_Natural_Environment,"","","","","",""
2012-10-30 22:34:44,"","","","","","","",""
2012-11-06 21:52:18,"","","","","","","",""
2012-10-28 23:20:59,"","","","","","","",""
2012-10-29 21:37:37,Worried,"","","","","","",""
2012-11-03 17:10:33,Frustrated,"","","","","","",""
2012-11-02 08:22:55,"","","","","","","",""
2012-10-25 19:41:40,"","","","",Pass_On_Information,"",Considering_Plans,""
2012-11-04 13:13:21,"","","","","","","",""
2012-11-04 08:39:59,Positive_Coping,"","","","","","",""
2012-10-28 10:26:41,"",External_Natural_Environment,"","","","","",""
2012-10-22 08:43:21,"","","","","","","",""
2012-10-27 22:05:46,"","","","","","","",""
2012-11-05 05:57:04,"","","","","","","",""
2012-11-01 21:04:29,"","","","","","","",""
2012-11-02 19:18:42,"","","","","","","",""
2012-11-05 07:44:55,"","","","","","","",""
2012-10-25 15:34:34,"","","","","","","",""
2012-11-03 23:33:19,"","","","","","","",""
2012-11-01 16:47:42,"","","","","","","",""
2012-10-31 09:04:07,"","","","","","","",""
2012-10-26 19:40:55,"","","","","","","",""
2012-10-27 18:08:18,"","","","","","","",""
2012-10-28 19:43:46,"","","","","","","",""
2012-10-28 23:01:45,"","","","","","","",""
2012-11-03 21:01:37,"","","","","","","",""
2012-10-26 22:43:33,"","","","","","","",""
2012-11-02 06:25:12,"","","","","","","",""
2012-10-26 20:13:46,"","","","","","","",""
2012-10-25 15:55:28,"","","","","","","",""
2012-10-22 09:20:09,"","","","","","","",""
2012-11-02 15:54:44,"",Immediate_Personal_Environment,"","",Pass_On_Information,"","",""
2012-10-29 16:54:38,"","","","","","","",""
